"X","id","itemTime","trial","RT","number_chosen","number_not_chosen","quantifier","clicked_left","language","comments","engagement","difficulty","time","time_minutes","quantifier_num","chose_higher","higher","lower","id_int","pred_barker","pred_barker_chosen","pred_barker_not_chosen","pred_distance","pred_distance_chosen","pred_distance_not_chosen","pred_closer","pred_closer_chosen","pred_closer_not_chosen","mode_barker","mode_distance","mode_closer","a_barker","a_distance","a_closer","b_barker","b_distance","b_closer"
81,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877829606,31,4652,359,354,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,1,359,354,1,0.517,0.517,0.483,0.515,0.515,0.485,0.714,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
82,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877833125,32,3512,359,362,"Many",1,"English",NA,8,6,757997,12.6332833333333,6,0,362,359,1,0.49,0.51,0.49,0.491,0.509,0.491,0.286,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
83,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877838542,33,5412,374,359,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,1,374,359,1,0.55,0.55,0.45,0.545,0.545,0.455,0.714,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
84,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877842572,34,4025,364,374,"Many",1,"English",NA,8,6,757997,12.6332833333333,6,0,374,364,1,0.467,0.533,0.467,0.47,0.53,0.47,0.286,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
85,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877846051,35,3476,376,364,"Many",1,"English",NA,8,6,757997,12.6332833333333,6,1,376,364,1,0.54,0.54,0.46,0.536,0.536,0.464,0.714,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
86,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877849520,36,3463,358,376,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,0,376,358,1,0.441,0.559,0.441,0.446,0.554,0.446,0.286,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
87,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877852801,37,3275,349,358,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,0,358,349,1,0.47,0.53,0.47,0.473,0.527,0.473,0.286,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
88,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877856029,38,3224,349,343,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,1,349,343,1,0.52,0.52,0.48,0.518,0.518,0.482,0.714,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
89,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877861643,39,5607,349,393,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,0,393,349,1,0.357,0.643,0.357,0.37,0.63,0.37,0.286,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
90,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877866041,40,4392,356,349,"Many",1,"English",NA,8,6,757997,12.6332833333333,6,1,356,349,1,0.523,0.523,0.477,0.521,0.521,0.479,0.714,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
