"X","id","itemTime","trial","RT","number_chosen","number_not_chosen","quantifier","clicked_left","language","comments","engagement","difficulty","time","id_int","time_minutes","quantifier_num","chose_higher","higher","lower"
163,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511023559,13,239,28,43,"About half",1,"english",NA,3,0,162666,46,2.7111,1,0,43,28
164,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511023759,14,198,50,28,"About half",1,"english",NA,3,0,162666,46,2.7111,1,1,50,28
165,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511023953,15,193,319,50,"About half",1,"english",NA,3,0,162666,46,2.7111,1,1,319,50
166,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511024189,16,235,329,319,"About half",1,"english",NA,3,0,162666,46,2.7111,1,1,329,319
167,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511024385,17,194,312,329,"About half",1,"english",NA,3,0,162666,46,2.7111,1,0,329,312
168,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511024555,18,169,312,283,"About half",1,"english",NA,3,0,162666,46,2.7111,1,1,312,283
169,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511024761,19,205,196,312,"About half",1,"english",NA,3,0,162666,46,2.7111,1,0,312,196
170,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511024925,20,163,198,196,"About half",1,"english",NA,3,0,162666,46,2.7111,1,1,198,196
171,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511025119,21,193,325,198,"About half",1,"english",NA,3,0,162666,46,2.7111,1,1,325,198
172,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511025303,22,183,338,325,"About half",1,"english",NA,3,0,162666,46,2.7111,1,1,338,325
173,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511025469,23,164,351,338,"About half",1,"english",NA,3,0,162666,46,2.7111,1,1,351,338
174,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511025627,24,157,346,351,"About half",1,"english",NA,3,0,162666,46,2.7111,1,0,351,346
175,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511025934,25,306,30,346,"About half",1,"english",NA,3,0,162666,46,2.7111,1,0,346,30
176,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511026107,26,171,15,30,"About half",1,"english",NA,3,0,162666,46,2.7111,1,0,30,15
177,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511026253,27,145,15,28,"About half",1,"english",NA,3,0,162666,46,2.7111,1,0,28,15
178,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511026431,28,177,419,15,"About half",1,"english",NA,3,0,162666,46,2.7111,1,1,419,15
179,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511026593,29,161,1,419,"About half",1,"english",NA,3,0,162666,46,2.7111,1,0,419,1
180,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511026777,30,183,415,1,"About half",1,"english",NA,3,0,162666,46,2.7111,1,1,415,1
181,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511026987,31,208,68,415,"About half",1,"english",NA,3,0,162666,46,2.7111,1,0,415,68
